PLZ;Kanton;Gemeinden
1000;Waadt;Lausanne
1003;Waadt;Lausanne
1004;Waadt;Lausanne
1005;Waadt;Lausanne
1006;Waadt;Lac Léman (VD)
1007;Waadt;Lausanne
1008;Waadt;Jouxtens-Mézery, Prilly
1009;Waadt;Pully
1010;Waadt;Lausanne
1011;Waadt;Lausanne
1012;Waadt;Lausanne
1015;Waadt;Lac Léman (VD)
1018;Waadt;Lausanne
1020;Waadt;Renens (VD)
1022;Waadt;Chavannes-prčs-Renens
1023;Waadt;Crissier
1024;Waadt;Ecublens (VD)
1025;Waadt;Saint-Sulpice (VD)
1026;Waadt;Denges, Echandens
1027;Waadt;Lonay
1028;Waadt;Préverenges
1029;Waadt;Villars-Sainte-Croix
1030;Waadt;Bussigny
1031;Waadt;Mex (VD)
1032;Waadt;Romanel-sur-Lausanne
1033;Waadt;Cheseaux-sur-Lausanne
1034;Waadt;Boussens
1035;Waadt;Bournens
1036;Waadt;Sullens
1037;Waadt;Etagničres
1038;Waadt;Bercher
1040;Waadt;Echallens, Saint-Barthélemy (VD), Villars-le-Terroir
1041;Waadt;Bottens, Montilliez, Jorat-Menthue, Poliez-Pittet
1042;Waadt;Assens, Bettens, Bioley-Orjulaz
1043;Waadt;Montilliez
1044;Waadt;Fey
1045;Waadt;Ogens
1046;Waadt;Rueyres
1047;Waadt;Oppens
1052;Waadt;Le Mont-sur-Lausanne
1053;Waadt;Bretigny-sur-Morrens, Cugy (VD)
1054;Waadt;Morrens (VD)
1055;Waadt;Froideville
1058;Waadt;Jorat-Menthue
1059;Waadt;Jorat-Menthue
1061;Waadt;Jorat-Menthue
1062;Waadt;Jorat-Menthue
1063;Waadt;Boulens, Montanaire
1066;Waadt;Epalinges
1068;Waadt;Pully
1070;Waadt;Puidoux
1071;Waadt;Chexbres, Rivaz, Saint-Saphorin (Lavaux)
1072;Waadt;Forel (Lavaux)
1073;Waadt;Savigny
1076;Waadt;Jorat-Mézičres
1077;Waadt;Servion
1078;Waadt;Essertes
1080;Waadt;Servion
1081;Waadt;Montpreveyres
1082;Waadt;Corcelles-le-Jorat
1083;Waadt;Jorat-Mézičres
1084;Waadt;Jorat-Mézičres
1085;Waadt;Vulliens
1088;Waadt;Ropraz
1090;Waadt;Lutry
1091;Waadt;Bourg-en-Lavaux
1092;Waadt;Belmont-sur-Lausanne
1093;Waadt;Lutry
1094;Waadt;Paudex
1095;Waadt;Lutry
1096;Waadt;Bourg-en-Lavaux
1097;Waadt;Bourg-en-Lavaux
1098;Waadt;Bourg-en-Lavaux
1110;Waadt;Morges
1112;Waadt;Echichens
1113;Waadt;Echichens
1114;Waadt;Echichens
1115;Waadt;Vullierens
1116;Waadt;Cottens (VD)
1117;Waadt;Grancy
1121;Waadt;Bremblens
1122;Waadt;Romanel-sur-Morges
1123;Waadt;Aclens
1124;Waadt;Gollion
1125;Waadt;Echichens
1126;Waadt;Vaux-sur-Morges
1127;Waadt;Clarmont
1128;Waadt;Reverolle
1131;Waadt;Tolochenaz
1132;Waadt;Lully (VD)
1134;Waadt;Chigny, Vufflens-le-Château
1135;Waadt;Denens
1136;Waadt;Bussy-Chardonney
1141;Waadt;Sévery
1142;Waadt;Pampigny
1143;Waadt;Apples
1144;Waadt;Ballens
1145;Waadt;Bičre
1146;Waadt;Mollens (VD)
1147;Waadt;Montricher
1148;Waadt;Chavannes-le-Veyron, Cuarnens, L'Isle, La Praz, Mauraz, Moiry, Mont-la-Ville
1149;Waadt;Berolle
1162;Waadt;Saint-Prex
1163;Waadt;Etoy
1164;Waadt;Buchillon
1165;Waadt;Allaman
1166;Waadt;Perroy
1167;Waadt;Lussy-sur-Morges
1168;Waadt;Villars-sous-Yens
1169;Waadt;Yens
1170;Waadt;Aubonne
1172;Waadt;Bougy-Villars
1173;Waadt;Féchy
1174;Waadt;Montherod, Aubonne
1175;Waadt;Lavigny
1176;Waadt;Saint-Livres
1180;Waadt;Rolle, Tartegnin
1182;Waadt;Gilly
1183;Waadt;Bursins
1184;Waadt;Luins, Vinzel
1185;Waadt;Mont-sur-Rolle
1186;Waadt;Essertines-sur-Rolle
1187;Waadt;Saint-Oyens
1188;Waadt;Gimel, Saint-George
1189;Waadt;Saubraz
1195;Waadt;Bursinel, Dully
1196;Waadt;Gland
1197;Waadt;Prangins
1201;Genf;Genčve
1202;Genf;Genčve
1203;Genf;Genčve
1204;Genf;Genčve
1205;Genf;Genčve
1206;Genf;Genčve
1207;Genf;Genčve
1208;Genf;Genčve
1209;Genf;Genčve
1212;Genf;Lancy
1213;Genf;Onex, Lancy
1214;Genf;Vernier
1215;Genf;Le Grand-Saconnex
1216;Genf;Meyrin
1217;Genf;Meyrin
1218;Genf;Le Grand-Saconnex
1219;Genf;Vernier
1220;Genf;Vernier
1222;Genf;Collonge-Bellerive
1223;Genf;Cologny
1224;Genf;Chęne-Bougeries, Thônex
1225;Genf;Chęne-Bourg
1226;Genf;Thônex
1227;Genf;Carouge (GE), Genčve
1228;Genf;Plan-les-Ouates
1231;Genf;Chęne-Bougeries
1232;Genf;Confignon
1233;Genf;Bernex
1234;Genf;Veyrier
1236;Genf;Cartigny
1237;Genf;Avully
1239;Genf;Collex-Bossy
1241;Genf;Puplinge
1242;Genf;Satigny
1243;Genf;Presinge
1244;Genf;Choulex
1245;Genf;Collonge-Bellerive
1246;Genf;Corsier (GE)
1247;Genf;Aničres
1248;Genf;Hermance
1251;Genf;Gy
1252;Genf;Meinier
1253;Genf;Vandoeuvres
1254;Genf;Jussy
1255;Genf;Veyrier
1256;Genf;Troinex
1257;Genf;Bardonnex
1258;Genf;Perly-Certoux
1260;Waadt;Nyon
1261;Waadt;Le Vaud, Longirod, Marchissy
1262;Waadt;Eysins
1263;Waadt;Crassier
1264;Waadt;Saint-Cergue
1265;Waadt;Saint-Cergue
1266;Waadt;Duillier
1267;Waadt;Coinsins, Vich
1268;Waadt;Begnins, Burtigny
1269;Waadt;Bassins
1270;Waadt;Trélex
1271;Waadt;Givrins
1272;Waadt;Genolier
1273;Waadt;Arzier-Le Muids
1274;Waadt;Grens, Signy-Avenex
1275;Waadt;Chéserex
1276;Waadt;Gingins
1277;Waadt;Arnex-sur-Nyon, Borex
1278;Waadt;La Rippe
1279;Waadt;Bogis-Bossey, Chavannes-de-Bogis
1281;Genf;Russin
1283;Genf;Dardagny
1284;Genf;Chancy
1285;Genf;Avusy
1286;Genf;Soral
1287;Genf;Laconnex
1288;Genf;Aire-la-Ville
1290;Waadt;Chavannes-des-Bois, Versoix
1291;Waadt;Commugny
1292;Genf;Pregny-Chambésy
1293;Genf;Bellevue
1294;Genf;Genthod
1295;Waadt;Mies, Tannay
1296;Waadt;Coppet
1297;Waadt;Founex
1298;Genf;Céligny
1299;Waadt;Crans-prčs-Céligny
1302;Waadt;Vufflens-la-Ville
1303;Waadt;Penthaz
1304;Waadt;Cossonay, Dizy, Senarclens
1305;Waadt;Penthalaz
1306;Waadt;Daillens
1307;Waadt;Lussery-Villars
1308;Waadt;La Chaux (Cossonay)
1312;Waadt;Eclépens
1313;Waadt;Ferreyres
1315;Waadt;La Sarraz
1316;Waadt;Chevilly
1317;Waadt;Orny
1318;Waadt;Pompaples
1321;Waadt;Arnex-sur-Orbe
1322;Waadt;Croy
1323;Waadt;Romainmôtier-Envy
1324;Waadt;Premier
1325;Waadt;Vaulion
1326;Waadt;Juriens
1329;Waadt;Bretonničres
1337;Waadt;Vallorbe
1338;Waadt;Ballaigues
